"Latitude","Longitude","CType","SampleYear","SowingPeriod","HarvestingPeriod","Others","Index"
28.146817,77.787446,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146987,77.778273,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149323,77.792929,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147786,77.778665,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148302,77.790391,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151849,77.797113,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153174,77.78639,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147356,77.788487,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.142304,77.77032,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.141367,77.767464,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146992,77.777152,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.144828,77.769779,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153656,77.788364,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149314,77.782061,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149167,77.778407,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.154224,77.778102,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152185,77.795504,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149655,77.789732,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.144598,77.768969,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147162,77.790059,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152076,77.788085,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.141327,77.768577,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147578,77.773351,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150525,77.792242,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152351,77.7886,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151783,77.782302,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153486,77.785842,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148756,77.785708,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147852,77.775124,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147096,77.791314,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152497,77.775548,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.154626,77.777345,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148926,77.789785,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.143744,77.769073,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147696,77.787741,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150038,77.795423,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148342,77.772477,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151934,77.794715,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148311,77.778842,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.147744,77.772582,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.143562,77.76994,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.148959,77.788315,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.146443,77.788299,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.150624,77.798223,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.14956,77.788337,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.151755,77.774572,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.149863,77.798685,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.146632,77.787892,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.153386,77.780221,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.142763,77.766482,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152833,77.773188,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.15044,77.797945,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.149182,77.790188,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.155486,77.775881,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.14815,77.791191,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.149035,77.784796,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.150553,77.798996,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.151944,77.783407,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.15227,77.782897,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.148673,77.775535,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.15104,77.794511,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.153727,77.780778,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152895,77.781878,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.149238,77.787935,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152573,77.78264,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152999,77.782415,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.143177,77.770288,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152625,77.783573,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.154015,77.784587,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.146675,77.775084,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.142829,77.770575,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.149196,77.78743,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.142498,77.766117,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.15376,77.784265,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.154824,77.78154,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.146159,77.776798,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.146826,77.774446,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152384,77.783965,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.149825,77.794071,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.146462,77.776347,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.150132,77.779909,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152384,77.773553,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.151769,77.795729,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.142569,77.770763,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.14615,77.775832,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.146398,77.771943,"Paddy",2017,"15/06/17","31/10/17",NA,2
28.152885,77.774298,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.14242,77.765385,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.154063,77.776342,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.146604,77.77414,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.142727,77.77135,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.155307,77.781122,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.15498,77.77388,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.143453,77.768727,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.143413,77.771203,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.152043,77.78448,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.149555,77.783927,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.142836,77.768285,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.151334,77.79045,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.142368,77.771635,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.152209,77.796201,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.147564,77.78021,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.150099,77.77874,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.140663,77.768446,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.14268,77.769339,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.142027,77.771924,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.154791,77.779282,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.145544,77.776986,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.152303,77.787151,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.151461,77.787988,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.154082,77.774202,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.147387,77.775261,"PearlMillet",2017,"01/07/17","31/10/17",NA,3
28.145769,77.769803,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
28.146277,77.773091,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
28.151092,77.791786,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
