"VV_2017-05-15","VV_2017-05-27","VV_2017-06-08","VV_2017-07-02","VV_2017-07-14","VV_2017-07-26","VV_2017-08-07","VV_2017-08-19","VV_2017-08-31","VV_2017-09-12","VV_2017-09-24","VV_2017-10-06","VV_2017-10-18"
0.122822762,0.189219996,0.153522953,0.154195115,0.199341267,0.189871088,0.177605867,0.202594548,0.230357081,0.223629087,0.287495434,0.152368307,0.193330958
0.130207688,0.14488183,0.142848805,0.257425189,0.25430131,0.197376102,0.218743846,0.171122625,0.250336528,0.278419524,0.226997957,0.233704105,0.161747709
0.161269397,0.173674047,0.147858426,0.200474292,0.189052373,0.276367217,0.174330756,0.273504734,0.231474087,0.21033448,0.165780574,0.130229324,0.165656343
0.072492294,0.094911635,0.081937544,0.20110397,0.158277124,0.152723357,0.212881789,0.167795196,0.200147897,0.187214747,0.107990697,0.145212248,0.241109192
0.05490027,0.07264448,0.0921783,0.151150599,0.183247477,0.206700742,0.170630023,0.182383537,0.239994437,0.190112278,0.294627994,0.160102606,0.158864692
0.0758503,0.10839422,0.19598487,0.170958266,0.177171052,0.191683784,0.189001322,0.173262134,0.190946788,0.18425788,0.122580886,0.156988531,0.163098887
0.086983718,0.109377094,0.17072773,0.203795969,0.126385584,0.243217245,0.24837862,0.161284402,0.202934518,0.180841163,0.220975101,0.132476047,0.241262287
0.160537124,0.119193792,0.148260847,0.21708931,0.174254596,0.211201683,0.242654726,0.163545236,0.182017818,0.227557793,0.23508136,0.185556352,0.186876535
0.111849748,0.161853075,0.175742671,0.178484276,0.215589955,0.211697578,0.232152864,0.162310869,0.222027674,0.189318985,0.126671866,0.250976384,0.207333416
0.040759064,0.139940649,0.131705478,0.206792563,0.119948924,0.203964278,0.180540144,0.162533313,0.203974158,0.226760283,0.159154728,0.131063342,0.152935535
0.185184345,0.139191076,0.124284573,0.255756289,0.161529154,0.174610689,0.255950749,0.227984309,0.239497274,0.289076626,0.154492632,0.159716502,0.202470779
0.065367654,0.101481326,0.151607454,0.216497198,0.153724387,0.229209796,0.365014255,0.241097271,0.228484869,0.16936639,0.139131472,0.206563041,0.219019309
0.133829251,0.139876544,0.15600872,0.15581353,0.12633729,0.160673589,0.161492154,0.121246628,0.176430359,0.293634146,0.202306569,0.202332333,0.147173107
0.137990519,0.189576566,0.154686615,0.20932509,0.171791732,0.232002437,0.232105896,0.127334341,0.214645833,0.239477158,0.190619037,0.200871676,0.214999273
0.109232239,0.131678849,0.168063641,0.170472533,0.13076666,0.214713007,0.232099876,0.130696356,0.207009971,0.199210599,0.275691986,0.141522661,0.180023894
0.104600959,0.207207128,0.139609024,0.18223542,0.166296422,0.184671789,0.212533846,0.10937576,0.179121584,0.23980172,0.19364813,0.175564677,0.20592688
0.15954113,0.226105407,0.146143287,0.257095844,0.185059682,0.201629892,0.208543062,0.18705979,0.180366337,0.257591277,0.152240291,0.248670772,0.187400714
0.099415153,0.155879766,0.156426743,0.148387283,0.171084091,0.162959322,0.187475786,0.162978947,0.22314924,0.213431492,0.147798672,0.1812381,0.173666999
0.10934633,0.07029479,0.096623838,0.125665367,0.125587896,0.160830364,0.193034485,0.156375408,0.192933455,0.156816497,0.280053884,0.202026576,0.147421777
0.131737843,0.113500267,0.134447694,0.100796908,0.118855365,0.139518604,0.229930162,0.174843878,0.216653883,0.167518169,0.167636484,0.109325379,0.210662559
0.058761481,0.146065474,0.068484455,0.119861923,0.152119979,0.231164977,0.176951945,0.126106173,0.195753455,0.181680501,0.15492934,0.072623149,0.118973292
0.070146129,0.108628556,0.122264966,0.175058752,0.163434505,0.274510354,0.220634967,0.198953137,0.248953864,0.205442905,0.10685198,0.096930653,0.145693451
0.157180279,0.152821034,0.118803486,0.214843333,0.156068087,0.194168061,0.196659923,0.262049168,0.148219615,0.170472533,0.143165454,0.206139639,0.175979212
0.175294697,0.149494871,0.169012561,0.201199263,0.158497795,0.187442809,0.199437886,0.185752153,0.189059034,0.166855752,0.185895115,0.166971341,0.181152523
0.119691618,0.169010729,0.194228411,0.127750456,0.142614931,0.144067124,0.185141221,0.162011668,0.210730061,0.149215981,0.137546748,0.151987523,0.156509995
0.051608142,0.064483374,0.092767626,0.124373004,0.122989357,0.121201545,0.157052159,0.188183382,0.175218508,0.18895039,0.148365945,0.078865781,0.099470384
0.134163946,0.099318095,0.180824831,0.173864812,0.187941268,0.233868256,0.19079186,0.157719389,0.167284608,0.187134981,0.127981886,0.141610861,0.133140922
0.176622614,0.087656178,0.108621225,0.224761695,0.197129101,0.222685784,0.233718887,0.22053872,0.25852108,0.302123606,0.234628364,0.251316339,0.261661232
0.130507126,0.172651932,0.157755151,0.18941921,0.147738457,0.202690348,0.195599228,0.103950605,0.184475735,0.233891338,0.148552656,0.166774914,0.176375613
0.106194727,0.146396637,0.136795834,0.128514618,0.142664179,0.194905743,0.229659542,0.209894925,0.217757761,0.174061775,0.244789228,0.205470651,0.175104305
0.073475704,0.130039498,0.115400173,0.136108264,0.1388098,0.203712642,0.147640869,0.134665087,0.209090158,0.168342754,0.237059236,0.166140154,0.132402956
