"VH_2017-05-15","VH_2017-05-27","VH_2017-06-08","VH_2017-07-02","VH_2017-07-14","VH_2017-07-26","VH_2017-08-07","VH_2017-08-19","VH_2017-08-31","VH_2017-09-12","VH_2017-09-24","VH_2017-10-06","VH_2017-10-18"
0.019813277,0.039722677,0.053344153,0.041220244,0.033984795,0.062746793,0.06743899,0.071707457,0.0664602,0.054018419,0.053726692,0.041286197,0.041898571
0.024619559,0.038488176,0.046946649,0.040458761,0.034369715,0.049664821,0.06158391,0.027107261,0.041170929,0.054684024,0.062195528,0.031028969,0.046744023
0.042975295,0.044149432,0.061887864,0.041468006,0.039331459,0.043562315,0.049754292,0.046444558,0.060501833,0.070878141,0.074269414,0.065069422,0.036948163
0.04050082,0.041775875,0.05757701,0.047195338,0.052871451,0.050870426,0.053938203,0.044134717,0.042628031,0.042784892,0.06502936,0.046548337,0.050823096
0.018989479,0.021886939,0.021687761,0.036956407,0.049259327,0.045509398,0.04234565,0.031342015,0.055211022,0.052520271,0.046109252,0.035088509,0.04476624
0.010165652,0.019652987,0.013556561,0.044657864,0.033873834,0.037364755,0.061647668,0.037773542,0.053213477,0.055516608,0.057584833,0.053477939,0.046221092
0.014660493,0.020214636,0.036501344,0.044327814,0.037154529,0.044227459,0.044956293,0.041428883,0.043826379,0.050203614,0.063067526,0.043974482,0.032510243
0.016167341,0.015973372,0.048228957,0.072303981,0.051281881,0.049414113,0.062517002,0.041989528,0.04710371,0.074126884,0.055416904,0.044920783,0.052428816
0.026824344,0.042538214,0.034652051,0.035936616,0.051881012,0.045472138,0.055497613,0.055173077,0.048516385,0.06345921,0.069591679,0.052760128,0.059679378
0.031986047,0.031778529,0.047067583,0.039250955,0.032627761,0.048677363,0.064698942,0.026446486,0.046872165,0.052985325,0.049242049,0.065993376,0.079708219
0.008568151,0.021006003,0.03013229,0.059137285,0.040154785,0.060177591,0.048536792,0.027014067,0.039500438,0.060877796,0.035785325,0.035246808,0.048843496
0.022810716,0.022879524,0.03366198,0.06295988,0.052894358,0.062901303,0.078483872,0.034034781,0.036290046,0.041554805,0.062508568,0.032486822,0.043126807
0.026178703,0.032187711,0.028342834,0.049066,0.039903656,0.038645707,0.033660527,0.049170241,0.045610841,0.044398032,0.056874949,0.046039488,0.036520325
0.032625847,0.03726149,0.053794771,0.050279986,0.041344099,0.038092978,0.050756671,0.047433402,0.038210005,0.052050255,0.048739415,0.05730829,0.052748304
0.033042822,0.047891628,0.040315639,0.045264538,0.049774714,0.045674127,0.051668644,0.033492904,0.047268931,0.041949317,0.046920415,0.065928414,0.065344565
0.046084013,0.033617433,0.036853395,0.04563472,0.043503549,0.065213434,0.0532648,0.053836171,0.056901135,0.042097889,0.068290472,0.030817343,0.065603338
0.045167111,0.051895399,0.035863403,0.03574444,0.039119076,0.055817634,0.051558793,0.035408266,0.054472916,0.055353932,0.063178353,0.05708459,0.039672039
0.028507276,0.056111146,0.060208887,0.049177058,0.038683087,0.059136488,0.060160123,0.029129416,0.052053712,0.040795401,0.05997375,0.060402226,0.061981302
0.03425641,0.031675652,0.040225156,0.046418358,0.037911981,0.057116054,0.055948634,0.037901584,0.041454218,0.045985211,0.065063141,0.036473613,0.039549667
0.009898875,0.008180258,0.020735404,0.030820008,0.038506266,0.052488297,0.057575155,0.055584699,0.04225247,0.068849191,0.065711223,0.051762305,0.055584438
