3603,7206,7579,7953,4782,3081,2638,3545,5476,7407,5362,4724,4087,4818
2167,4335,6773,9212,6279,1595,2125,5087,3496,1905,4347,4024,3701,6667
1708,3416,2565,1714,1516,2382,3034,4499,6125,7751,7751,7751,4739,7357
4072,8145,8090,8035,1542,1338,2372,6386,4500,2615,3792,4123,4454,6823
3109,6218,6460,6703,2572,3419,4716,6501,7284,8067,3978,4097,4217,7483
3023,6046,3768,1490,1144,1193,1522,1464,4764,8064,8064,8064,8064,1285
4297,8594,8485,8377,2028,1089,1465,1464,3036,4609,4516,4161,3806,8334
3687,7375,7606,7838,2480,1312,1507,1364,4821,4821,4821,4306,3791,7387
2128,4256,5260,6264,3237,3467,4093,5709,6393,7077,5283,7044,7044,7044
3639,7278,7588,7899,1736,1533,1847,4667,5148,5629,4006,7552,7552,7552
997,1994,3342,4690,4441,2174,1881,3050,4939,4939,4939,4359,3780,6999
3925,7850,7498,7147,2877,1341,1739,4082,6459,6459,6459,5619,4779,5819
4045,8091,8189,8287,2336,1149,1061,1335,5342,5342,5342,4829,4317,6226
3954,7908,6518,5129,1410,1021,1078,2168,4316,4316,4316,4097,3878,7182
4243,8487,8616,8746,2545,1499,1314,1515,1374,1233,4860,4277,3695,6270
2884,5768,3500,1232,1244,1302,1956,2314,2341,2369,6007,6290,6573,2604
3634,7269,4284,1300,1042,1819,2817,4953,6330,7708,6057,6361,6665,7479
2276,4553,4214,3876,2450,3070,4724,6597,7329,8061,8061,8061,6779,7703
4284,8569,8628,8687,1652,1361,1432,2142,2419,2697,4913,6108,7303,3426
4294,8589,8558,8528,2271,1424,1485,1858,1839,1820,6318,6567,6816,1916
3278,6556,4206,1857,1413,1318,1596,1594,1801,2009,6070,6113,6157,3920
4360,8720,8200,7681,1446,1329,1503,2950,2489,2029,5895,5840,5785,2496
3875,7750,4684,1618,1170,1794,3368,7071,7559,8048,4859,5696,6533,8034
4243,8486,8520,8555,2159,1758,1957,4592,3959,3327,5700,5517,5335,7576
